1.2E-05,-0.000224,5.8E-05,0.000237,0.000271,0.000136,1
4.7E-05,-0.000529,0.000122,0.000295,0.000423,0.000159,1
9.5E-05,-0.000801,0.0001,0.000466,0.000347,0.000227,1
0.000166,-0.001104,0.000115,0.000367,0.000454,0.000354,1
0.000269,-0.001487,0.000162,0.000542,0.000354,0.000277,1
0.000389,-0.001933,0.000255,0.000439,0.00029,0.000641,1
0.000484,-0.002466,0.000343,0.000375,0.000328,0.000515,1
0.000591,-0.002991,0.000434,0.000442,0.000233,0.000639,1
0.000697,-0.003585,0.000577,0.000553,0.000202,0.000911,0.999999
0.000836,-0.004309,0.000656,0.000525,1.4E-05,0.000813,1
-0.000706,-0.002701,-0.001162,0.000971,-0.000201,0.000754,0.999999
-0.000732,-0.003303,-0.001193,0.001067,-0.000219,0.00071,0.999999
-0.000751,-0.003879,-0.00129,0.001183,-0.000318,0.000679,0.999999
-0.000161,-0.002775,-0.001206,0.000838,-0.000282,-0.000198,1
-0.000113,-0.003212,-0.001254,0.000784,-0.000251,-0.000334,1
-1.1E-05,-0.003677,-0.001377,0.000818,-0.000319,-0.000422,1
0.001067,-0.003497,-0.000884,0.001008,0.000156,-0.00115,0.999999
0.001277,-0.003747,-0.000813,0.001008,0.000192,-0.001288,0.999999
0.001524,-0.00393,-0.000758,0.001054,0.000221,-0.001325,0.999999
0.001524,-0.00393,-0.000758,0.001054,0.000221,-0.001325,0.999999
0.001524,-0.00393,-0.000758,0.001054,0.000221,-0.001325,0.999999
0.001524,-0.00393,-0.000758,0.001054,0.000221,-0.001325,0.999999
0.001524,-0.00393,-0.000758,0.001054,0.000221,-0.001325,0.999999
0.001524,-0.00393,-0.000758,0.001054,0.000221,-0.001325,0.999999
0.016678,0.00358,-0.006049,0.000476,0.000133,-0.002324,0.999997
0.021378,0.005906,-0.007653,0.000546,0.000122,-0.002451,0.999997
0.025099,0.007855,-0.00894,0.000537,0.000124,-0.002547,0.999997
0.025099,0.007855,-0.00894,0.000537,0.000124,-0.002547,0.999997
