time, esti_x, esti_y, esti_z, esti_q_x, esti_q_y, esti_q_z, esti_q_w,             time, gt_x, gt_y, gt_z, gt_q_x, gt_q_y, gt_q_z, gt_q_w
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.050000072,-0.03968363082296039,0.16320180523481662,0.8999601176369643,-0.0019458403450375247,0.006327123992225637,0.0006116964347483586,0.9999779032732725,1.050000072,-0.0136353,0.164574,0.996602,-0.002522899776253062,0.008686509229624634,2.1916098056339824e-05,0.9999590886827793
1.100000024,-0.029380176765147,0.1672006086211486,0.8981947773479794,-0.0019007769990255587,0.008197132773983245,0.0006736325162946851,0.9999643695053932,1.100000024,-0.0149583,0.172316,0.987066,-0.00274304883532555,0.008923226211276504,2.4477989606860548e-05,0.9999564245725372
1.100000024,-0.029380176765147,0.1672006086211486,0.8981947773479794,-0.0019007769990255587,0.008197132773983245,0.0006736325162946851,0.9999643695053932,1.100000024,-0.0149583,0.172316,0.987066,-0.00274304883532555,0.008923226211276504,2.4477989606860548e-05,0.9999564245725372
1.100000024,-0.029380176765147,0.1672006086211486,0.8981947773479794,-0.0019007769990255587,0.008197132773983245,0.0006736325162946851,0.9999643695053932,1.100000024,-0.0149583,0.172316,0.987066,-0.00274304883532555,0.008923226211276504,2.4477989606860548e-05,0.9999564245725372
1.100000024,-0.029380176765147,0.1672006086211486,0.8981947773479794,-0.0019007769990255587,0.008197132773983245,0.0006736325162946851,0.9999643695053932,1.100000024,-0.0149583,0.172316,0.987066,-0.00274304883532555,0.008923226211276504,2.4477989606860548e-05,0.9999564245725372
1.100000024,-0.029380176765147,0.1672006086211486,0.8981947773479794,-0.0019007769990255587,0.008197132773983245,0.0006736325162946851,0.9999643695053932,1.100000024,-0.0149583,0.172316,0.987066,-0.00274304883532555,0.008923226211276504,2.4477989606860548e-05,0.9999564245725372
1.100000024,-0.029380176765147,0.1672006086211486,0.8981947773479794,-0.0019007769990255587,0.008197132773983245,0.0006736325162946851,0.9999643695053932,1.100000024,-0.0149583,0.172316,0.987066,-0.00274304883532555,0.008923226211276504,2.4477989606860548e-05,0.9999564245725372
1.100000024,-0.029380176765147,0.1672006086211486,0.8981947773479794,-0.0019007769990255587,0.008197132773983245,0.0006736325162946851,0.9999643695053932,1.100000024,-0.0149583,0.172316,0.987066,-0.00274304883532555,0.008923226211276504,2.4477989606860548e-05,0.9999564245725372
